"name","website","state","emailee","email","descriptione","scraped_socials","ceo_name","email_status","emails","socials","ceo_name","description","avatar_url","performance_score","crawl_status"
"Guardian Construction","http://www.guardian-mn.com","Minneapolis","","info@guardian-mn.com","","","Unknown","","info@guardian-mn.com","","","","",60,"success"
"Federal Building Roofing","http://www.federalbuildingroofing.com","San Bernardino","","","","","Unknown","","","","","","",50,"success"
"Great Southwest Roofing Co.","http://www.greatswroofing.com","Texas","","","","","Unknown","","","","","","",50,"success"
"Laredo Roofing Solutions","https://laredoroofingsolutions.com","Laredo","","impallari@gmail.com","Locally owned and operated. A fully insured Roofing Contractor with Experience and Integrity. roofing in Laredo","","Unknown","","impallari@gmail.com","","","Locally owned and operated. A fully insured Roofing Contractor with Experience and Integrity. roofing in Laredo","https://img1.wsimg.com/isteam/ip/3be0afa1-2452-46aa-81ff-448506a46a94/logo/6a830c5f-2625-4c19-84ae-4071512073d4.jpg/:/rs=w:57,h:57,m",80,"success"
"Northface Construction LLC","https://northfaceconstruction.com","Minneapolis","","info@northfaceconstruction.com","Looking for a reliable roofing company in Minnesota? Northface Construction is here to help! Get started on your new roof today. Click Here!","https://www.facebook.com/NorthfaceConstruction, https://www.linkedin.com/company/northfaceconstruction, https://www.instagram.com/northface.construction/","Unknown","","info@northfaceconstruction.com","https://www.instagram.com/northface.construction/, https://www.linkedin.com/company/northfaceconstruction, https://www.facebook.com/NorthfaceConstruction","Featured Resources","Looking for a reliable roofing company in Minnesota? Northface Construction is here to help! Get started on your new roof today. Click Here!","https://northfaceconstruction.com/apple-touch-icon.png",85,"success"
"Hovey Roofing","https://www.hoveyroofing.com","San Bernardino","","","","","Unknown","","","","","","https://www.hoveyroofing.com/vite.svg",60,"success"
"H&I Construction & Remodeling Inc.","https://www.handiconstruction.com","Texas","","your@email.com, ckhcustom@msn.com","H&I Construction & Remodeling Inc. in San Antonio, Texas provides professional construction and remodeling services. Call us for more information at (210) 402-4002.","https://www.facebook.com/handiconstruction/","Unknown","","ckhcustom@msn.com, your@email.com","https://www.facebook.com/handiconstruction/","","H&I Construction & Remodeling Inc. in San Antonio, Texas provides professional construction and remodeling services. Call us for more information at (210) 402-4002.","https://irp.cdn-website.com/5c6ccb45/dms3rep/multi/Capture.PNG",85,"success"
"Erie Home","https://eriehome.com/locations/roofing/toledo-oh","Toledo","","","","","Unknown","","","","","","",60,"success"
"Erie Home","https://eriehome.com/locations/roofing/norfolk-va","Chesapeake","","","","","Unknown","","","","","","",60,"success"
"Erie Home Basement Solutions","https://eriehome.com/locations/basement-solutions/toledo-oh","Toledo","","","","","Unknown","","","","","","",60,"success"
"Redwood Roofing Co","http://redwoodroofingco.com","San Francisco","","","","","Unknown","","","","","","data:;",50,"success"
"SMR HomePros","https://smrhomepros.com","Toledo","","","","","Unknown","","","","","","",60,"success"
"Wendell's Roofing Company","https://www.wendellsroofingcompany.com","Texas","","18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com, 5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com, example@mysite.com","The trusted roofing company in Pampa, Texas offering expert roof repair by local roofers near you. Fast service, free estimates—call Wendell's Roofing Company!","","Unknown","","605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, example@mysite.com, 18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com","","","The trusted roofing company in Pampa, Texas offering expert roof repair by local roofers near you. Fast service, free estimates—call Wendell's Roofing Company!","https://static.wixstatic.com/media/e1d6fa_b7cc8696162f4520b403314759779ef8%7Emv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/e1d6fa_b7cc8696162f4520b403314759779ef8%7Emv2.jpg",70,"success"
"M&A Exterior Home Improvement","https://www.maexterior.com/contact-us","Chesapeake","","","M&A Exterior Home Improvement is a trusted local business that specializes in residential roofing, gutter installation, siding and more! Call (757) 779-5244 for more information on all of the services we provide.","https://www.facebook.com/MARoofHomeImprovement/, https://www.facebook.com/TittleBrothers, https://twitter.com/Tittlebrothers","Unknown","","","https://www.facebook.com/TittleBrothers, https://twitter.com/Tittlebrothers, https://www.facebook.com/MARoofHomeImprovement/","","M&A Exterior Home Improvement is a trusted local business that specializes in residential roofing, gutter installation, siding and more! Call (757) 779-5244 for more information on all of the services we provide.","https://www.maexterior.com/wp-content/uploads/dynamik-gen/theme/images/favicon.png",75,"success"
"Sierra Roofing Co","https://www.sierraroofing.com","Fresno","","error","","","","","","https://www.facebook.com/Sierraroofingandsolar/, https://www.instagram.com/sierraroofingandsolar/p/C0kZN6Vv8to/","","Sierra Roofing and Solar is the premier provider of roofing and solar services in Dublin. Call today for a free estimate!  ","https://www.sierraroofing.com/assets/Social-Share.jpg",75,"success"
"Gopher Roofing & Restoration","https://gopherroofingandrestoration.com","Minneapolis","","info@gopherroofingandrestoration.com","Looking for the best roof fixers? Connect with Gopher Roofing & Restoration Inc. your trusted roofing company & contractor in Minneapolis. Contact us!","https://www.facebook.com/gopherroofremodelmn","Unknown","","info@gopherroofingandrestoration.com","https://www.facebook.com/gopherroofremodelmn","","Looking for the best roof fixers? Connect with Gopher Roofing & Restoration Inc. your trusted roofing company & contractor in Minneapolis. Contact us!","https://gopherroofingandrestoration.com/wp-content/uploads/2022/02/Gopher-Roofing-and-Renovation-Favicon-150x150.png",75,"success"
"Pro General Roofing Inc","http://proroofing.com","San Francisco","","","Trusted roofing services in Atlanta, North Carolina, Alabama, and Houston. Schedule a free assessment for quality roof repair or replacement!","https://www.facebook.com/TheProRoofing/, https://www.instagram.com/theproroofing/","Unknown","","","https://www.facebook.com/TheProRoofing/, https://www.instagram.com/theproroofing/","","Trusted roofing services in Atlanta, North Carolina, Alabama, and Houston. Schedule a free assessment for quality roof repair or replacement!","https://proroofing.com/wp-content/uploads/2022/06/Badge-FC-150x150.png",55,"success"
"A Aaron Roofing & Building Contractor","http://aaaronroofingbuildingcontractor.localsearch.com","Denver","","","","","Unknown","","","","","","",50,"success"
"Artistic Roofing of Fresno","http://artisticroofingoffresno.localsearch.com","Fresno","","","","","Unknown","","","","","","",50,"success"
"Jnl Construction","http://jnlconstruction.localsearch.com","Fort Wayne","","","","","Unknown","","","","","","",50,"success"
"A Honesty Roofing","http://ahonestyroofingtx.localsearch.com","Texas","","","","","Unknown","","","","","","",50,"success"
"Tempo Storm, LLC","http://tempostormllc.localsearch.com","Chesapeake","","","","","Unknown","","","","","","",50,"success"
"Amish Craftsman","http://amishcraftsmanin.localsearch.com","Fort Wayne","","","","","Unknown","","","","","","",50,"success"
"Andres Lemus Construction","http://andreslemusconstructionin.localsearch.com","Fort Wayne","","","","","Unknown","","","","","","",50,"success"
"Able Roofing LLC of Denver","http://ableroofingllcofdenver.localsearch.com","Denver","","","","","Unknown","","","","","","",50,"success"
"Exterior Qualities Home Improvement","http://exteriorqualitieshomeimprovement556349307.localsearch.com","Toledo","","","","","Unknown","","","","","","",50,"success"
"Sunset Roofers","https://sunsetroofers.com","Laredo","","","","","Unknown","","estimates@sunsetroofers.com","","","Trust Sunset Roofers to keep your roof in excellent condition. As a leading roofing company in Laredo, TX, we specialize in repairs and maintenance.","https://sunsetroofers.com/wp-content/uploads/2025/03/cropped-favicon-32x32.jpg",80,"success"
"Johnson Construction Company LLC","http://www.roofingcontractorsoh.com","Toledo","","","Experienced Toledo Roofing Contractor. Johnson Construction is a licensed, bonded and insured roofer. Call (419) 222-7663 for a free roofing estimate","","Unknown","","","","","Experienced Toledo Roofing Contractor. Johnson Construction is a licensed, bonded and insured roofer. Call (419) 222-7663 for a free roofing estimate","",60,"success"
"DB Construction and Roofing","https://www.dbconstructionandroofing.com/contact-us","Chesapeake","","dbconstructionandroofing@gmail.com, deannastewart2300@gmail.com","For residential remodeling estimates,  call  DB Construction & Roofing in Virginia Beach, VA at 757-348-5852.","facebook.com/DB-Construction-Property-Management-LLC-1684151635220903/, https://www.facebook.com/DB-Construction-Property-Management-LLC-1684151635220903/","Unknown","","dbconstructionandroofing@gmail.com, deannastewart2300@gmail.com","https://www.facebook.com/DB-Construction-Property-Management-LLC-1684151635220903/","","For residential remodeling estimates,  call  DB Construction & Roofing in Virginia Beach, VA at 757-348-5852. ","https://irp.cdn-website.com/bf263b3b5afb47cbad31eb0592aba72d/site_favicon_16_1619626107442.ico",85,"success"
"ProCraft Home Products","https://www.procrafthomeproducts.com","Toledo","","flags@2x.webp, info@procrafthomeproducts.com, ajax-loader@2x.gif","Trusted since 1952, Pro Craft Home Products is Toledo roofing company. Get free estimates, financing, and strong roof warranties. Call 419.475.9600.","https://www.facebook.com/ProCraft-Home-Products-153290569951, https://www.instagram.com/procrafthp/","Unknown","","info@procrafthomeproducts.com, globe@2x.webp, ajax-loader@2x.gif","https://www.instagram.com/procrafthp/, https://www.facebook.com/ProCraft-Home-Products-153290569951","","Trusted since 1952, Pro Craft Home Products is Toledo roofing company. Get free estimates, financing, and strong roof warranties. Call 419.475.9600.","https://www.procrafthomeproducts.com/wp-content/uploads/2025/05/P-2.png",75,"success"
"Flynn Midwest LP","http://flynnmidwestlpia.localsearch.com","94. Des Moines","","","","","Unknown","","","","","","",50,"success"
"Dominguez Roofing Co","http://dominguezroofingco.localsearch.com","Laredo","","","","","Unknown","","","","","","",50,"success"
"Advanced Foam Roofing","http://advancedfoamroofing.localsearch.com","Fresno","","","","","Unknown","","","","","","",50,"success"
"Progressive Roofing","http://progressiveroofing.us/locations/denver-colorado","Denver","","%20info@progressiveus.com, info@progressiveus.com","","https://www.linkedin.com/company/progressive-roofing/, https://www.instagram.com/progressive_roofing/, https://www.facebook.com/profile.php?id=100028941356659","Unknown","","%20info@progressiveus.com, info@progressiveus.com","https://www.instagram.com/progressive_roofing/, https://www.facebook.com/profile.php?id=100028941356659, https://www.linkedin.com/company/progressive-roofing/","","","https://progressiveroofing.us/wp-content/uploads/2024/01/logoa-150x150.png",65,"success"
"Roofcorp Of Metro Denver","http://www.roofingexperts.com","Denver","","","","","Unknown","","","","","","data:;",50,"success"
