"category","state","company_name","phone","address","city","state.1","postal_code","website","rating","reviews","sent","emailss","email","socials","ceo_name","description","avatar_url","performance_score","crawl_status","country","group","emails","phones","linkedin_url","twitter_url","facebook_url","instagram_url","meta_title","favicon_url","employee_count","founded_year","response_time_ms","crawl_error"
"Auto Glass Repair","Nashville TN","Auto Glass Repair TN","(615) 294-7254","Dickerson Rd","Nashville, TN 37207","TN",37207.0,"https://glassdoctor.com/nashville","","","no","","","","","","",65,"success","USA","Auto Services","","","","","","","Just a moment...","","","",584,""
"Used Car Parts","Denver CO","Advance Auto Parts","(303) 557-7102","6676 S Wadsworth Blvd","Littleton, CO 80123","CO",80123.0,"https://stores.advanceautoparts.com/co/littleton/6676-s-wadsworth-blvd?utm_medium=local&utm_source=yext&utm_content=listing-2016-12-22&utm_campaign=aap","","","no","","","https://www.facebook.com/advanceautoparts, https://twitter.com/AdvanceAuto, https://www.instagram.com/advanceautoparts/","","Auto Parts Near Me at 6676 S Wadsworth Blvd in Littleton, CO. We have everything you need to DIY and save by shopping online or in-store at an Advance Auto Parts store near you for the best replacement parts and aftermarket accessories.","http://a.mktgcdn.com/p/qHRGVopjFRcTbef1vR1ihHeYElNki7acYdtZVUgrNFM/1024x1024.png",90,"success","USA","Auto Services","","(303) 557-7102, 303) 557-7102, 3786 6676","","https://twitter.com/AdvanceAuto","https://www.facebook.com/advanceautoparts","https://www.instagram.com/advanceautoparts/","Advance Auto Parts 6676 S Wadsworth Blvd in Littleton, CO. Visit us for quality auto parts, advice and accessories.","https://stores.advanceautoparts.com/assets/static/favicon-Light-a399771f.svg","",2025.0,608,""
"Used Car Parts","Miami FL","Advance Auto Parts","(305) 823-6355","8300 NW 103rd St","Hialeah Gardens, FL 33016","FL",33016.0,"https://stores.advanceautoparts.com/fl/hialeah-gardens/8300-nw-103rd-st?utm_medium=local&utm_source=yext&utm_content=listing-2016-12-29&utm_campaign=aap","","","no","","","https://www.facebook.com/advanceautoparts, https://twitter.com/AdvanceAuto, https://www.instagram.com/advanceautoparts/","","Auto Parts Near Me at 8300 NW 103rd St in Hialeah Gardens, FL. We have everything you need to DIY and save by shopping online or in-store at an Advance Auto Parts store near you for the best replacement parts and aftermarket accessories.","http://a.mktgcdn.com/p/qHRGVopjFRcTbef1vR1ihHeYElNki7acYdtZVUgrNFM/1024x1024.png",90,"success","USA","Auto Services","","305) 823-6355, 9258 8300, (305) 823-6355","","https://twitter.com/AdvanceAuto","https://www.facebook.com/advanceautoparts","https://www.instagram.com/advanceautoparts/","Advance Auto Parts 8300 NW 103rd St in Hialeah Gardens, FL. Visit us for quality auto parts, advice and accessories.","https://stores.advanceautoparts.com/assets/static/favicon-Light-a399771f.svg","",2025.0,636,""
"Oil Change","Columbus OH","Ayers Complete Auto","(614) 805-2617","7812 W Broad St","Galloway, OH 43119","OH",43119.0,"https://www.facebook.com/Ayers-Complete-Auto-LLC-552645255206678/about/?ref=page_internal","","1 Year","no","","","https://www.facebook.com/","","","",70,"success","USA","Auto Services","","","","","https://www.facebook.com/","","Error","","",2026.0,715,""
"Remanufactured Engines","Dallas TX","Nickles Auto Works","(972) 223-2311","113 N Lyndalyn Ave","Desoto, TX 75115","TX",75115.0,"https://www.facebook.com/Nickles-Auto-Works-154904171193241","","49 Years","no","","","https://www.facebook.com/","","","",70,"success","USA","Auto Services","","","","","https://www.facebook.com/","","Error","","",2026.0,721,""
"Oil Change","Indianapolis IN","Xpress Pro Tire & Auto","(317) 831-1215","432 N Monroe St","Mooresville, IN 46158","IN",46158.0,"https://www.xpresspro.com","","","no","","","","","","",65,"success","USA","Auto Services","","","","","","","","","","",986,""
"Used Car Parts","Miami FL","Smart Used Auto Parts","(305) 591-0828","8200 NW 74th St","Medley, FL 33166","FL",33166.0,"http://www.smart74.com/contact-us.html","","15 Years","no","","smartusedautoparts@gmail.com","https://www.facebook.com/Smart-Used-Auto-Parts-1321614451207426/","","","",70,"success","USA","Auto Services","smartusedautoparts@gmail.com","305-591-0314, 0828 305-591-0314, 305-591-0828","","","https://www.facebook.com/Smart-Used-Auto-Parts-1321614451207426/","","Smart Used Auto Parts","","","",1128,""
"Used Car Parts","Miami FL","Advance Auto Parts","(305) 895-7657","11590 Biscayne Blvd","North Miami, FL 33181","FL",33181.0,"https://stores.advanceautoparts.com/fl/north-miami/11590-biscayne-blvd?utm_medium=local&utm_source=yext&utm_content=listing-2016-12-29&utm_campaign=aap","","","no","","","https://www.facebook.com/advanceautoparts, https://twitter.com/AdvanceAuto, https://www.instagram.com/advanceautoparts/","","Auto Parts Near Me at 11590 Biscayne Blvd in North Miami, FL. We have everything you need to DIY and save by shopping online or in-store at an Advance Auto Parts store near you for the best replacement parts and aftermarket accessories.","http://a.mktgcdn.com/p/qHRGVopjFRcTbef1vR1ihHeYElNki7acYdtZVUgrNFM/1024x1024.png",90,"success","USA","Auto Services","","305) 895-7657, (305) 895-7657, 9416 11590","","https://twitter.com/AdvanceAuto","https://www.facebook.com/advanceautoparts","https://www.instagram.com/advanceautoparts/","Advance Auto Parts 11590 Biscayne Blvd in North Miami, FL. Visit us for quality auto parts, advice and accessories.","https://stores.advanceautoparts.com/assets/static/favicon-Light-a399771f.svg","",2025.0,176,""
"Auto Body Parts","Louisville KY","Jim O'Neal Ford Inc","(812) 246-4441","516 S Indiana Ave","Sellersburg, IN 47172","IN",47172.0,"https://www.jimonealford.com","","(1)","no","","","","","","",65,"success","USA","Auto Services","","156.0.213.54","","","","","Attention Required! | Cloudflare","","","",1283,""
"Auto Repair","Orlando FL","Gerber Collision & Glass","(407) 277-8778","4765 S Semoran Blvd","Orlando, FL 32822","FL",32822.0,"https://www.gerbercollision.com/locations/orlando-semoran-blvd-fl","","89 Years","no","","","https://www.facebook.com/gerbercollision, https://www.linkedin.com/company/gerbercollision","","Gerber Collision & Glass Orlando - 4765 S Semoran Blvd offers collision auto body repair with a lifetime guarantee. Call 407-277-8778","https://www.gerbercollision.com/includes/uploads/gerber-fb.jpg",85,"success","USA","Auto Services","","407) 277-8778, (407) 277-8778, 10584 66","https://www.linkedin.com/company/gerbercollision","","https://www.facebook.com/gerbercollision","","Orlando / Semoran Blvd FL Auto Body Repair","https://www.gerbercollision.com/favicon.ico","","",1389,""
"Auto Parts","Memphis TN","U-Pull-It Auto Parts","(901) 726-1561","1515 N Watkins St","Memphis, TN 38108","TN",38108.0,"http://www.upullitap.com","","22 Years","no","","","https://www.facebook.com/pages/Mid-South-U-Pull-It-Auto-Parts/162205993808969","","","http://www.upullitap.com/images/UPullItAP_Logo.png",60,"success","USA","Auto Services","","38108 901-726, 901-726-1561, 38053 901-872","","","https://www.facebook.com/pages/Mid-South-U-Pull-It-Auto-Parts/162205993808969","","Index - U-Pull-It Auto Parts","","",2026.0,1469,""
"Car Detailing","Tampa FL","DJ Car Washes","(813) 622-9000","7729 Palm River Rd","Tampa, FL 33619","FL",33619.0,"http://blueoceancarwash.com","","12 Years","no","","","","","","",50,"success","USA","Auto Services","","","","","","","Loading...","","","",1497,""
"Used Car Parts","Miami FL","Prado Auto Sales","(786) 419-9192","1022 NW 36th St","Miami, FL 33127","FL",33127.0,"http://www.pradoautosales.com","","21 Years","no","","","","","","",50,"success","USA","Auto Services","","","","","","","Prado Auto Sales","","","",1555,""
"Towing","Louisville KY","Falls City Towing","(502) 339-1410","5924 Timber Ridge Dr","Prospect, KY 40059","KY",40059.0,"http://www.fallscitytowing.com/contactus.html","","","no","","Info@FallsCityTowing.com","","","","",50,"success","USA","Auto Services","","","","","","","403 Forbidden","","","",1737,""
"Tire Shops","Indianapolis IN","Discount Tire","(317) 577-8022","6526 E 82nd St","Indianapolis, IN 46250","IN",46250.0,"https://www.discounttire.com/store/in/indianapolis/s/1292","","(1)","no","","","","","","",60,"success","USA","Auto Services","","","","","","","ERROR: The request could not be satisfied","","","",1794,""
"Auto Body Parts","Louisville KY","S & W Collision Center Inc","(812) 951-2210","7970 State Road 64","Georgetown, IN 47122","IN",47122.0,"http://swcollisioncenter.com","","","no","","","https://www.facebook.com/pages/SWs-Prestige-Auto-Body-and-Rhino-Linings-of-Georgetown/136632677875?ref=hl, https://twitter.com/PrestigeABR","","","",60,"success","USA","Auto Services","","812.951.2210","","https://twitter.com/PrestigeABR","https://www.facebook.com/pages/SWs-Prestige-Auto-Body-and-Rhino-Linings-of-Georgetown/136632677875?ref=hl","","S&W's Prestige Auto Body","","",2012.0,1952,""
"Towing","Cincinnati OH","Justice Auto Service and Towing","(859) 261-1555","2971 Walton Rd","Hebron, KY 41048","KY",41048.0,"http://www.justiceautoserviceandtowing.com","","","no","","","","","","",50,"success","USA","Auto Services","","","","","","","","data:;","","",2024,""
