category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Car Stereo Systems,Los Angeles CA,GTA Video Games Inc,(213) 627-7399,655 S Los Angeles St,"Los Angeles, CA 90014",CA,90014.0,http://yellowpages.com/los-angeles-ca/mip/whitemoon-dreams-inc-467022906,,16 Years,no,,,,,,,65,success,USA,Auto Services
Tire Shops,New York NY,Peter Tire Shop,(718) 375-7599,1695 Mcdonald Ave,"Brooklyn, NY 11230",NY,11230.0,http://yellowpages.com/brooklyn-ny/mip/o-p-tire-inc-2074177,,,no,,,,,,,65,success,USA,Auto Services
Remanufactured Engines,Fort Lauderdale FL,Pace Auto Inc,(954) 970-3929,3440 NW 27th Ave,"Pompano Beach, FL 33069",FL,33069.0,http://paceautoinc.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Chicago IL,Cabrales Auto Repair,(773) 731-4218,8437 S Commercial Ave,"Chicago, IL 60617",IL,60617.0,http://www.cabralesauto.com,,(1),no,,,,,,,65,success,USA,Auto Services
Auto Body Shops,San Diego CA,So Cal Auto Reconditioning,(619) 987-7400,2135 Madreselva Way,"San Diego, CA 92154",CA,92154.0,http://socalautoreconditioning.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,Mini of Downtown Los Angeles,(323) 968-3295,6201 S Alameda St,"Los Angeles, CA 90001",CA,90001.0,https://www.minidtla.com/?utm_source=localseo&utm_medium=organic,,,no,,carprosleads@host.udcnet.com,,,"Visit Mini of Downtown Los Angeles for all of your MINI needs in Los Angeles, CA. Shop cars for sale, browse lease deals, or schedule service.",https://pictures.dealer.com/m/minidealerdemo/1994/c898e1f30004612d2b89104088293293x.jpg,70,success,USA,Auto Services
Towing,San Antonio TX,Spooks Towing,(210) 445-7497,,,,,http://spookstowing.localsearch.com,,20 Years,no,,,,,,,60,success,USA,Auto Services
Auto AC Repair,Los Angeles CA,A & B Auto Body Repair Center,(310) 329-7865,14200 S San Pedro St,"Los Angeles, CA 90061",CA,90061.0,http://abautobodyrepaircenter.localsearch.com,,49 Years,no,,,,,,,60,success,USA,Auto Services
Radiator Repair,Los Angeles CA,Los Angeles Car Windshield Chip Repair,(213) 275-0335,746 S Central Ave,"Los Angeles, CA 90021",CA,90021.0,http://yellowpages.com/los-angeles-ca/mip/lara-sons-differentials-1620725,,,no,,,,,,,65,success,USA,Auto Services
Tire Repair,San Jose CA,US Tire Sales & Service,(510) 887-1282,1915 National Ave,"Hayward, CA 94545",CA,94545.0,http://ustiresalesserviceca.localsearch.com,,21 Years,no,,,,,,,60,success,USA,Auto Services
