category,state,company,phone,address,city,statess,postal_code,website,rating,reviews,sent,email,description,socials,ceo_name,country,group
Roofing,New York NY,Compare Roofing Experts,,,,,,,,,no,,,,,USA,Home Services
Roofing,New York NY,Empire Roofing & Water Proofing,(888) 827-6689,308 W 94th St,"New York, NY 10025",NY,10025.0,http://www.empireroofingny.com,,(6),no,Error,,,,USA,Home Services
Roofing,New York NY,The Expedite Construction Inc,(917) 471-6880,345 W 86th St Ste 002,"New York, NY 10024",NY,10024.0,https://expeditecontracting.com,,(3),no,expeditecontractinginc@gmail.com,"The Expedite Construction Inc is a locally owned roofing company that provides roofing, waterproofing, brickwork, remodeling, and masonry services in Manhattan, Queens, Brooklyn, Staten Island, Long Island, Suffolk County, Bronx, and Nassau County, NY.",https://www.facebook.com/profile.php?id=100090505609602,Unknown,USA,Home Services
Roofing,New York NY,New York Manhattan Roofing Company,(917) 402-5555,,"New York, NY 10029",NY,10029.0,,,(3),no,,,,,USA,Home Services
Roofing,New York NY,Nagel Roofing,(212) 242-6320,128 W 18th St,"New York, NY 10011",NY,10011.0,http://nagelroofing.localsearch.com,,107 Years,no,,,,Unknown,USA,Home Services
Roofing,New York NY,Tri State Roofing,(212) 252-3469,244 5th Ave,"New York, NY 10001",NY,10001.0,http://tristateroofingny.localsearch.com,,(1),no,,,,Unknown,USA,Home Services
Roofing,New York NY,Brian Goe Indl Roofing,(212) 828-5291,111 Mount Carmel Pl,"New York, NY 10016",NY,10016.0,http://briangoeindlroofing.localsearch.com,,,no,,,,Unknown,USA,Home Services
Roofing,New York NY,G M Construction,(212) 979-1414,32 Avenue B,"New York, NY 10009",NY,10009.0,http://gmconstructionny.localsearch.com,,29 Years,no,,,,Unknown,USA,Home Services
Roofing,New York NY,Right Way Roofing,(212) 560-5124,,,,,http://rightwayroofingny.localsearch.com,,,no,,,,Unknown,USA,Home Services
Roofing,New York NY,Compare Roofing Experts,(888) 906-6670,,,,,http://compareroofingexpertsnj.localsearch.com,,1 Yearwith,no,,,,Unknown,USA,Home Services
Roofing,New York NY,Compare Roofing Experts,(888) 906-8599,,,,,http://compareroofingexperts.localsearch.com,,1 Yearwith,no,,,,Unknown,USA,Home Services
Roofing,New York NY,SAS Roofing & Waterproofing,(347) 201-4261,552 Rugby Rd,"Brooklyn, NY 11230",NY,11230.0,http://www.sasroofingwaterproofing.com,,(1),no,"sascon09@yahoo.com, amzadh78@gmail.com","SAS Roofing & Waterproofing offers expert roofing, waterproofing, and masonry services in Brooklyn, Manhattan, and Queens. Call for quality construction solutions today!",https://www.facebook.com/sasroofingwaterproofing,Unknown,USA,Home Services
Roofing,New York NY,Riedel Roofing,(201) 788-2024,,"New York, NY 10025",NY,10025.0,http://riedelroofing.com,,,no,Error,,,,USA,Home Services
Roofing,New York NY,Elite Roof by Verrazano,(347) 714-5259,,"New York, NY 10005",NY,10005.0,https://roofingcontractornewyorkny.com,,,no,,"Elite Roof by Verrazano is a company that operates in New York, NY, 10005. Contact us for an exceptional roofing service!",,Unknown,USA,Home Services
Roofing,New York NY,Mike & Sons Roofing,(917) 846-4623,,"New York, NY 10013",NY,10013.0,http://mikesonsroofingny.localsearch.com,,,no,,,,Unknown,USA,Home Services
Roofing,New York NY,Roofing | Roofing Company | Roofing Contractors | Leaks Repair,(212) 851-3501,311 Pleasant Ave Apt 6b,"New York, NY 10035",NY,10035.0,http://roofingroofingcompanyroofingcontractorsleaksrepair.localsearch.com,,35 Years,no,,,,Unknown,USA,Home Services
Roofing,New York NY,Riedel Contracting,(646) 771-0523,183 W 96th St,"New York, NY 10025",NY,10025.0,http://riedelcontracting.localsearch.com,,46 Years,no,,,,Unknown,USA,Home Services
