"category","city","company","phone","address","locality","state","zip","website","rating","reviews","sent","crawl_status","retry_count","ceo_name","emails","phones","social_links","meta_description","has_ssl","site_score","last_updated"
"Roofing","Nashville TN","Compare Roofing Experts","","","","","","","","","no","no_website",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Sumner Roofing & Exteriors","","","","","","","","37 Years","no","no_website",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Associated Roofing","","","","","","","","(7)","no","no_website",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Mike Roy Roofing Company","","","","","","","","(1)","no","no_website",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Memphis TN","Ark Roofing","(901) 362-1007","4920 Pleasant Hill Rd","Memphis, TN 38118","TN",38118.0,"","","24 Years","no","no_website",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Memphis TN","Taylor Roofing","","","","","","","","53 Years","no","no_website",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Nashville Roofers Pro","(629) 288-1010","209 10th Ave S Ste 560","Nashville, TN 37203","TN",37203.0,"https://nashvillepaintingpro.com","","","no","error",0,"","","","","",0,0,"2026-01-05 02:34:17"
"Roofing","Memphis TN","Revival Roofing Services","(901) 401-8500","600 Madison Ave","Memphis, TN 38103","TN",38103.0,"http://www.revivalroofingservices.com","","","no","success",0,"","","","","",False,0,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Aspen Contracting Inc.","(865) 230-7511","2908 Poston Ave","Nashville, TN 37203","TN",37203.0,"http://www.roofsbyaspen.com/nashville","","20 Years","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Reliable Roofing, Construction and Repair Service, Inc.","(615) 333-3653","399 Haywood Ln","Nashville, TN 37211","TN",37211.0,"http://www.reliableroofing.net","","(1)","no","success",0,"","","","","",False,0,"2026-01-05 02:34:17"
"Roofing","Nashville TN","Southern Roofing and Renovations","(615) 543-8758","1203 Dickerson Pike","Nashville, TN 37207","TN",37207.0,"https://southernrnr.com/tennessee/nashville/roofing-company","","","no","success",0,"","info@southernrnr.com","174.1 354.8, 71 333 104 333, 17.8 0 26.7 21.5 14.1 34.1","","Discover Nashville's leading roofing company for quality service, repairs, and installations. Trust the experts to protect your home!",True,60,"2026-01-05 02:34:18"
"Roofing","Nashville TN","Commercial Roofing Rana","(615) 289-6012","1108 Mckennie Ave Ste 106","Nashville, TN 37206","TN",37206.0,"https://www.commercialroofingrana.com","","","no","success",0,"","","","","",True,0,"2026-01-05 02:34:18"
"Roofing","Memphis TN","Erie Home","(800) 684-4628","2165 Spicer Cv Ste 14","Memphis, TN 38134","TN",38134.0,"https://eriehome.com/locations/roofing/memphis-tn","","","no","success",0,"","","4-1767576860-1.0.1.1, 1767576860-1.2.1.1, 1767576860","","",True,20,"2026-01-05 02:34:18"
"Roofing","Nashville TN","Nashville Builders LLC","(629) 935-0526","","","","","https://www.nashvillebuilders.com","","37 Years","no","success",0,"","ngbuild@comcast.net","1385531397, 1961600235, 1709799931","https://www.facebook.com/Nashville-Builders-LLC-130965813617786/, https://www.facebook.com/Nashville-Builders-LLC-130965813617786/","Call Nashville Builders LLC at (615) 847-9485 for all of your remodeling needs. We are located in Old Hickory, TN.",True,80,"2026-01-05 02:34:18"
"Roofing","Nashville TN","Man of Steel Resources – Roofing Gutter and Siding Contractor of Nashville TN","(615) 601-3063","","Nashville, TN 37201","TN",37201.0,"https://manofsteelresources.com/nashville-tn","","(1)","no","success",0,"","","156.0.213.54, 1767576860.770","","",True,20,"2026-01-05 02:34:19"
"Roofing","Nashville TN","3428 Burr Rd","(615) 255-1420","3428 Burr Rd","Nashville, TN 37205","TN",37205.0,"http://perryroofingcompanyinc.com/home.html","","","no","error",0,"","","","","",0,0,"2026-01-05 02:34:19"
"Roofing","Nashville TN","Paragon Roofing","(615) 819-4864","1201 4th Ave S","Nashville, TN 37210","TN",37210.0,"https://www.paragonroofingusa.com","","","no","success",0,"","","","","",True,0,"2026-01-05 02:34:19"
"Roofing","Memphis TN","Pyramid Roofing Company","(901) 746-9717","505 McDermitt Rd","Memphis, TN 38120","TN",38120.0,"http://pyramidroofingcompanytn.localsearch.com","","(3)","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:19"
"Roofing","Memphis TN","Lone Star Roofing","(901) 214-4850","","Memphis, TN 38122","TN",38122.0,"http://lonestarroofingtn.localsearch.com","","","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:19"
"Roofing","Nashville TN","Compare Roofing Experts","(888) 906-6670","","","","","http://compareroofingexpertsnj.localsearch.com","","1 Yearwith","no","success",0,"","","156.0.213.54","","",False,20,"2026-01-05 02:34:19"
