category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Car Wheels,Miami FL,Flagler Fire Rated Doors & Hardware,(305) 676-3594,,"Miami, FL 33144",FL,33144.0,http://flaglerfirerateddoorshardware.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Brake Repair,New York NY,Tarmac for Brakes,(718) 783-1121,1065 Atlantic Ave,"Brooklyn, NY 11238",NY,11238.0,http://tarmacforbrakes.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Towing,Chicago IL,J H Towing,(312) 719-5464,,,,,http://jhtowingil.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Towing,Chicago IL,Art's Towing,(773) 342-6666,,,,,http://artstowingil.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Astro Auto Glass,(901) 937-7730,4186 Jackson Ave,"Memphis, TN 38128",TN,38128.0,http://astroautoglasstn.localsearch.com,,21 Years,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Tampa FL,Elite Automotive of Tampa Bay,(813) 530-6727,1717 E Busch Blvd,"Tampa, FL 33612",FL,33612.0,http://eliteautomotiveoftampabay.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Oil Change,Cleveland OH,Lube Stop,(216) 587-1355,5235 Northfield Rd,"Bedford, OH 44146",OH,44146.0,http://lubestop4302810.localsearch.com,,41 Years,no,,,,,,,60,success,USA,Auto Services
Auto Body Shops,New York NY,T & J Auto Repairs,(212) 677-1570,210 Delancey St,"New York, NY 10002",NY,10002.0,http://tjautorepairsny.localsearch.com,,,no,,,,,,,60,success,USA,Auto Services
Remanufactured Engines,Seattle WA,Lincoln Automotive,(360) 443-7020,2585 Mitchell Rd SE,"Port Orchard, WA 98366",WA,98366.0,http://yellowpages.com/port-orchard-wa/mip/d-w-auto-repair-3242979,,,no,,,,,,,65,success,USA,Auto Services
Car Transport,New York NY,The Flower,(201) 840-8010,824 Broad Ave,"Ridgefield, NJ 07657",NJ,7657.0,https://www.theflowerpalisadespark.com/contact_us.php,,,no,,,,,,,70,success,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 371-9714,5099 Yale Rd,"Memphis, TN 38134",TN,38134.0,https://locations.oreillyauto.com/tn/memphis/autoparts-895.html,,,no,,,"https://www.facebook.com/OreillyAutoParts, https://www.facebook.com/300682639986560/reviews/?ref=page_internal, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #895 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Towing,Chicago IL,Axel's C Towing Inc,(773) 491-3860,,,,,https://www.axeltowing.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Parts,Memphis TN,O'Reilly Auto Parts,(901) 354-3870,3255 Thomas St,"Memphis, TN 38127",TN,38127.0,https://locations.oreillyauto.com/tn/memphis/autoparts-894.html,,,no,,,"https://www.facebook.com/109437859183959/reviews/?ref=page_internal, https://www.facebook.com/OreillyAutoParts, https://twitter.com/OReillyAuto",,"Your local O’Reilly Auto Parts #894 in Memphis, TN has car batteries, brake pads, and more. Find store hours, directions, and free services near you.",https://locations.oreillyauto.com/img/apple-touch-icon.png,65,success,USA,Auto Services
Auto Glass Repair,Memphis TN,Certified Auto Glass Replacement,(901) 545-5332,201 Poplar Ave,"Memphis, TN 38103",TN,38103.0,http://yellowpages.com/memphis-tn/mip/certified-auto-glass-replacement-550692051,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Cleveland OH,Alonzo's,(216) 417-0129,4080 Park Fulton Oval Apt 1011,"Cleveland, OH 44144",OH,44144.0,http://yellowpages.com/cleveland-oh/mip/the-tire-man-9041945,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Cleveland OH,Tire Repair Services,(216) 860-1111,10228 Saint Clair Ave,"Cleveland, OH 44108",OH,44108.0,http://yellowpages.com/cleveland-oh/mip/tire-repair-services-551325782,,,no,,,,,,,50,success,USA,Auto Services
Brake Repair,New York NY,Putnam Auto Reprs,(718) 855-8925,817 Bedford Ave,"Brooklyn, NY 11205",NY,11205.0,http://yellowpages.com/brooklyn-ny/mip/putnam-auto-reprs-7062943,,,no,,,,,,,50,success,USA,Auto Services
Car Transport,New York NY,USA Auto Transport,(646) 798-0885,975 Westchester Ave,"Bronx, NY 10459",NY,10459.0,http://usaautotransportny.localsearch.com,,18 Years,no,,,,,,,50,success,USA,Auto Services
