category,state,name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Pool Services,Orlando FL,On Time Pool Care of Casselberry,(407) 915-9111,3385 S Us Highway 17/92,"Casselberry, FL 32707",FL,32707.0,https://casselberrypools.com,,,no,,,"407) 915-9111, (407) 915-9111",https://www.linkedin.com/company/on-time-pool-care-of-casselberry/,https://www.linkedin.com/company/on-time-pool-care-of-casselberry/,,,,,"On Time Pool Care of Casselberry will give you healthy, clear, and blue pool water during all Florida seasons. Contact our local office at (407) 915-9111 to schedule weekly pool services in Casselberry & Orlando",On Time Pool Care of Casselberry - Dependable Weekly Service,,https://casselberrypools.com/media/Favicon-Pool-Service-0.png,,2020.0,75,4647,success,,USA,Home Services
Water Damage Restoration,Miami FL,Chem-Dry,(786) 322-2609,5850 Sunset Dr,"South Miami, FL 33143",FL,33143.0,http://chemdry549945683.localsearch.com,,,no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4776,success,,USA,Home Services
Drain Cleaning,Denver CO,Aj's Plumbing & Mechanical,(720) 495-3248,200 S Julian St,"Denver, CO 80219",CO,80219.0,http://ajsplumbingmechanical.localsearch.com,,26 Years,no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4787,success,,USA,Home Services
Pool Services,Orlando FL,Aqua-Blue Pools,(407) 782-9495,1559 Pinehurst Dr,"Casselberry, FL 32707",FL,32707.0,http://aquabluepools464356584.localsearch.com,,,no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4809,success,,USA,Home Services
Painting Contractors,Phoenix AZ,All Star Drywall & Painting,(480) 200-0043,16650 S 14th Pl,"Phoenix, AZ 85048",AZ,85048.0,http://allstardrywallpaintingaz.localsearch.com,,(5),no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4822,success,,USA,Home Services
Interior Designers,Jacksonville FL,Schulte Design Associates Inc,(904) 285-1713,1562 San Marco Blvd. Suite A,"Jacksonville, FL 32207",FL,32207.0,https://schultedesign.com,,27 Years,no,,info@schultedesign.com,"0001167, 904.285.1713","https://www.instagram.com/schultedesignassociates, https://www.facebook.com/Schulte-Design-Associates-203119823061336/",,,https://www.facebook.com/Schulte-Design-Associates-203119823061336/,https://www.instagram.com/schultedesignassociates,,"Schulte Design Associates is an award-winning interior design firm, based in Jacksonville, Florida.","Schulte Design Associates | Award-Winning Jacksonville, Florida Interior Design Firm",https://static.showit.co/1200/-kdqB7z1RpKV9df0nX7DMw/79061/schulte_design_associates_-_award_winning_jacksonville_florida_interior_design_firm_-_photo_-_5.jpg,https://static.showit.co/200/meNUFns0TwKA6ADTwju2nw/79061/mark.png,,,85,4834,success,,USA,Home Services
Drain Cleaning,Denver CO,Sdr Construction,(303) 333-6336,5303 E Evans Ave Ste 201,"Denver, CO 80222",CO,80222.0,http://www.sdrconstruction.com,,50 Years,no,,webmaster@sdrconstruction.com,,,,,,,,,Account Suspended,,,,,50,4885,success,,USA,Home Services
Water Damage Restoration,Miami FL,Chem-Dry,(786) 604-2982,630 Crandon Blvd,"Key Biscayne, FL 33149",FL,33149.0,http://chemdry548738635.localsearch.com,,,no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4959,success,,USA,Home Services
Water Heater Repair,Fort Lauderdale FL,Mainstream Plumbing Inc,(954) 757-0705,8746 SW 1st Pl,"Coral Springs, FL 33071",FL,33071.0,http://yellowpages.com/coral-springs-fl/mip/mainstream-plumbing-inc-3041525,,33 Years,no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4971,success,,USA,Home Services
Roofing Contractors,Austin TX,Roofing Repair-Austin Specialists,(512) 782-2171,552 Congress Ave,"Austin, TX 78701",TX,78701.0,http://roofingrepairaustinspecialists.localsearch.com,,,no,,,156.0.213.54,,,,,,,,Attention Required! | Cloudflare,,,,,45,4991,success,,USA,Home Services
