category,state,company_name,phone,address,city,state.1,postal_code,website,rating,reviews,sent,emailss,email,socials,ceo_name,description,avatar_url,performance_score,crawl_status,country,group
Tire Shops,Memphis TN,Uncle Dave's Auto Repair,(901) 257-4045,6809 Summer Ave,"Bartlett, TN 38134",TN,38134.0,http://www.uncledavesauto.com,,(1),no,,,,,,http://www.uncledavesauto.com/wp-content/uploads/UD-memphis-auto-150x150.png,60,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Baby Bump Ultrasound,(480) 219-9066,7110 E Mcdonald Dr Ste B6,"Paradise Valley, AZ 85253",AZ,85253.0,http://babybumpultrasound.com,,,no,,,,,,,60,success,USA,Auto Services
Towing,Los Angeles CA,Roger's Towing,(213) 354-8526,6223 S Western Ave,"Los Angeles, CA 90047",CA,90047.0,https://www.rogerslatowing.com,,,no,,,,,,,70,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,Next Level Auto Electric,(786) 325-7333,1201 E Commercial Blvd,"Oakland Park, FL 33334",FL,33334.0,http://locations.autovalue.com/fl/oakland%20park/4575973,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,Peerless Auto Body,(954) 784-7666,590 S Dixie Hwy E,"Pompano Beach, FL 33060",FL,33060.0,https://peerlessautobodyinc.weebly.com,,,no,,,,,,http://peerlessautobodyinc.weebly.com/uploads/1/2/2/6/122637752/image-07_orig.png,70,success,USA,Auto Services
Auto Parts,Nashville TN,Goodyear Wholesale Tire Center,(615) 831-9154,619 Space Park S,"Nashville, TN 37211",TN,37211.0,http://www.goodyear.com,,,no,,,,,,,60,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,T-N-T Collision Auto Body,(954) 941-4877,1241 N Dixie Hwy,"Pompano Beach, FL 33060",FL,33060.0,http://japcollision.com,,,no,,,,,,,0,error,USA,Auto Services
Auto Glass Repair,Tampa FL,A Christian Glass & Mirror,(727) 317-6886,3345 118th Avenue North,"St. Petersburg, FL 33716",FL,33716.0,http://www.achristianglass.com/,,28 Years,no,,,https://www.facebook.com/A-Christian-Glass-Mirror-339788579474960/,,"Family Owned Company.  Glass, Showers and Mirrors - Serving the Tampa Bay Area",http://www.achristianglass.com/templates/theme824/favicon.ico,75,success,USA,Auto Services
Tire Shops,Memphis TN,Wright Tire & Auto,(662) 548-5550,951 Town And Country Dr,"Southaven, MS 38671",MS,38671.0,https://wrighttireandauto.com,,,no,,,,,,,70,success,USA,Auto Services
Auto Parts,Nashville TN,Mygrant Glass Co,(615) 445-7745,324 Space Park S,"Nashville, TN 37211",TN,37211.0,https://www.mygrantglassonline.com,,100 Years,no,,,,,,,70,success,USA,Auto Services
Auto Glass Repair,Tampa FL,Borter Glass Co Inc,(813) 932-5412,9502 N Nebraska Ave,"Tampa, FL 33612",FL,33612.0,http://www.borterglass.com,,(2),no,,,,,,,50,success,USA,Auto Services
Car Detailing,Orlando FL,Park To Fly Inc,(407) 851-8875,1900 Jetport Dr,"Orlando, FL 32809",FL,32809.0,http://parktofly.com,,(1),no,,,,,,,50,success,USA,Auto Services
Tire Shops,Memphis TN,Uncle Sam's Tire and Auto,(662) 510-5120,8836 Highway 51 N,"Southaven, MS 38671",MS,38671.0,https://www.unclesamstireandauto.com/services,,,no,,user@domain.com,,,,https://images.squarespace-cdn.com/content/v1/644aebaa8c9d135ff7ef2144/08b17247-3116-4142-be50-59f909475c44/favicon.ico?format=100w,70,success,USA,Auto Services
Towing,Cincinnati OH,Bill's Auto & Towing Service,(513) 489-1971,6810 Cornell Rd,"Blue Ash, OH 45242",OH,45242.0,http://www.napaautocare.com,,42 Years,no,,,,,,,50,success,USA,Auto Services
Towing,Los Angeles CA,24/7 Emergency West Hollywood Towing,(213) 449-1300,1246 N Formosa Ave,"Los Angeles, CA 90046",CA,90046.0,https://www.wehotowtruck.com,,,no,,wehotowtruck@gmail.com,https://www.instagram.com/emergencywehotowing,,24/7 Emergency West Hollywood Towing ,https://cc-cdn.corporate-center.com/image/1751896214276-597181436.webp,85,success,USA,Auto Services
Auto Glass Repair,Tampa FL,Blanton Glass System,(813) 302-1900,7352 W Hillsborough Ave,"Tampa, FL 33634",FL,33634.0,https://www.blantonglass.com,,80 Years,no,,"8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",,,"Tampa's leading glass and door specialist. Blanton Glass Systems & Door Controls offers a full range of services for the glass and door industry. We are the new construction and renovation glass specialists for commercial, propert management and facilities projects.",https://static.parastorage.com/client/pfavico.ico,70,success,USA,Auto Services
Towing,Los Angeles CA,Gerardo's Los Angeles Towing,(323) 553-4003,146 E Colden Ave,"Los Angeles, CA 90003",CA,90003.0,https://www.towinglosangeles.org,,,no,,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,"https://twitter.com/TowinginLA, https://www.facebook.com/pages/Emergency-Los-Angeles-Towing/830741733651284",,"Towing and Roadside Assistance Providers in Los Angeles. Jump starts, lockouts, tire changes, and much more. Available 24/7 | Call us 323-601-5010",https://static.parastorage.com/client/pfavico.ico,75,success,USA,Auto Services
Towing,Los Angeles CA,JV Towing,(213) 709-6725,4975 W Adams Blvd,"Los Angeles, CA 90016",CA,90016.0,http://jvtowingca.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Memphis TN,JC Auto Repair & Tire Center,(901) 244-6568,6838 Summer Ave,"Bartlett, TN 38134",TN,38134.0,http://jcautorepairtirecenter.localsearch.com,,(1),no,,,,,,,50,success,USA,Auto Services
Car Detailing,Orlando FL,Premier Eco Steam,(407) 912-8983,4400 N Alafaya Trl,"Orlando, FL 32826",FL,32826.0,http://premierecosteam.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Nashville TN,Vista-Pro Automotive,(615) 622-2200,22 Century Blvd Ste 410,"Nashville, TN 37214",TN,37214.0,http://vistaproautomotivetn.localsearch.com,,37 Years,no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,Poor Boys Towing,(513) 685-9126,,,,,http://poorboystowingoh.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Npa Auto Repair,(972) 840-6700,3209 S Shiloh Rd,"Garland, TX 75041",TX,75041.0,http://npaautorepair.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,Srn Auto Body,(954) 399-8456,402 N Dixie Hwy,"Hollywood, FL 33020",FL,33020.0,http://srnautobody.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,Bartlett Towing,(407) 296-6993,2512 Overlake Ave,"Orlando, FL 32806",FL,32806.0,http://bartletttowing.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Bumper Doctor,(480) 507-0606,5245 S Kyrene Rd,"Tempe, AZ 85283",AZ,85283.0,http://bumperdoctoraz.localsearch.com,,31 Years,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Nashville TN,Auto Value,(615) 889-2681,204B McGavock Pike,"Nashville, TN 37214",TN,37214.0,http://autovalue458895220.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Detailing,Orlando FL,No Money Phobia,(407) 914-3252,,"Orlando, FL 32828",FL,32828.0,http://nomoneyphobia.localsearch.com,,12 Years,no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Advance Auto Parts,(480) 333-6897,7473 W Thunderbird Rd,"Peoria, AZ 85381",AZ,85381.0,https://stores.advanceautoparts.com/az/peoria/7473-w-thunderbird-rd,,,no,,,,,,,60,success,USA,Auto Services
Auto Repair,Orlando FL,Yourmechanic,(844) 668-2785,2295 S Hiawassee Rd,"Orlando, FL 32835",FL,32835.0,https://www.yourmechanic.com/city/orlando-fl,,(1),no,,,,,,,60,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Freeway Chevrolet Parts,(877) 262-0609,1150 N 54th St,"Chandler, AZ 85226",AZ,85226.0,https://www.freewaychevrolet.com/parts,,,no,,"LoganEvans@freewaychevrolet.com, SethPope@freewaychevrolet.com, AndrewVarela@freewaychevrolet.com","https://www.instagram.com/freewaychevrolet, https://www.facebook.com/FreewayChevrolet",,"Find genuine Chevy parts at Freeway Chevrolet in Chandler, AZ. Shop quality OEM parts and accessories for your vehicle. Order online or visit us today!",https://www.freewaychevrolet.com/favicon-16x16-light.png,85,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,Broward Collision Truck-Auto,(954) 440-0087,3685 W Oakland Park Blvd,"Lauderdale Lakes, FL 33311",FL,33311.0,https://www.carstar.com/locations/?key=florida,,,no,,,"https://www.facebook.com/CARSTAR/?ref=br_rs, https://www.linkedin.com/company/98581/",,Explore our locations and find a CARSTAR Auto Body Repair Experts center near you. Visit your nearest CARSTAR for the highest quality collision repair today!,https://www.carstar.com/favicon.ico,75,success,USA,Auto Services
Auto Parts,Nashville TN,Cna,(615) 884-1736,26 Century Blvd Ste 602,"Nashville, TN 37214",TN,37214.0,http://www.cna.com,,,no,,,https://www.linkedin.com/company/cna-insurance,,,http://www.cna.com/sites/default/files/favicon%20new.png,55,success,USA,Auto Services
Auto Glass Repair,Tampa FL,Glass Doctor,(813) 642-3857,,,,,http://glassdoctor.com/TAMPA,,,no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,AAA B & M Wrecker Service,(513) 739-0774,,,,,http://yellowpages.com/nationwide/mip/truckers-breakdown-truck-repair-towing-commercial-tires-561419048,,,no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,Chesney's Towing Serv,(513) 721-5323,,,,,http://yellowpages.com/nationwide/mip/anytime-truck-services-inc-578785110,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Moses Auto Service,(214) 441-3544,1716 N Story Rd,"Irving, TX 75061",TX,75061.0,http://yellowpages.com/irving-tx/mip/eddies-mechanic-body-repair-1318697,,,no,,,,,,,50,success,USA,Auto Services
Auto Body Parts,Fort Lauderdale FL,CARSTAR Ft. Lauderdale Motors,(954) 932-7570,5050 NW 12th Ave,"Ft Lauderdale, FL 33309",FL,33309.0,http://carstarftlauderdalemotors.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Used Car Parts,Phoenix AZ,Cool Horsepower,(623) 266-7729,PO Box 1000,"Glendale, AZ 85311",AZ,85311.0,http://coolhorsepower.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Glass Repair,Tampa FL,Capital Glass Specialties Inc,(813) 877-5373,3430 W Cypress St,"Tampa, FL 33607",FL,33607.0,http://capitalglassspecialtiesinc.localsearch.com,,33 Years,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,Complete Quality Auto Wor,(321) 804-4918,17146 E Colonial Dr,"Orlando, FL 32820",FL,32820.0,http://completequalityautowor.localsearch.com,,(1),no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,Ziegler's Towing,(513) 791-0080,,,,,http://yellowpages.com/cincinnati-oh/mip/evans-auto-care-5024871,,,no,,,,,,,50,success,USA,Auto Services
Tire Shops,Memphis TN,Hick's Tire Service,(870) 594-0186,5210 Stateline Rd,"Walls, MS 38680",MS,38680.0,http://hickstireservice.localsearch.com,,15 Years,no,,,,,,,50,success,USA,Auto Services
Auto Parts,Nashville TN,Metro Nashville Office of Fleet Mgt.,(615) 922-3020,1417 Murfreesboro Pike,"Nashville, TN 37217",TN,37217.0,http://metronashvilleofficeoffleetmgt.localsearch.com,,110 Years,no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,Cargo Towg Solutions,(513) 202-0079,,,,,http://cargotowgsolutions.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Car Wheels,San Antonio TX,Rent A Wheel,(210) 924-4410,435 SW Military Dr,"San Antonio, TX 78221",TX,78221.0,http://rentawheel495430508.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Towing,Cincinnati OH,QCJ Services,(513) 769-0555,,,,,http://yellowpages.com/cincinnati-oh/mip/schaffers-towing-298348,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,Performance Plus Automotive,(407) 300-6789,9917 S Orange Blossom Trl,"Orlando, FL 32837",FL,32837.0,http://performanceplusautomotive16447803.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Fer's Alliance Brakes & Mufflers,(972) 278-6305,2530 W Kingsley Rd,"Garland, TX 75041",TX,75041.0,http://yellowpages.com/garland-tx/mip/firestone-complete-auto-care-480054346,,,no,,,,,,,50,success,USA,Auto Services
Car Detailing,Orlando FL,Car Washes In Osceola,(407) 935-3024,10340 Pocket Ln,"Orlando, FL 32836",FL,32836.0,http://yellowpages.com/orlando-fl/mip/car-washes-in-osceola-549925577,,,no,,,,,,,50,success,USA,Auto Services
Remanufactured Engines,Dallas TX,Auto Maintenance,(972) 271-6823,3116 Denton Dr,"Garland, TX 75041",TX,75041.0,http://automaintenancetx.localsearch.com,,44 Years,no,,,,,,,50,success,USA,Auto Services
Car Detailing,Orlando FL,Extraordinary Shine Detailing,(407) 346-4886,,"Orlando, FL 32805",FL,32805.0,http://extraordinaryshinedetailing.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Auto Repair,Orlando FL,Sporty Auto Repair,(407) 368-8050,250 Story Partin Rd,"Orlando, FL 32833",FL,32833.0,http://sportyautorepairfl.localsearch.com,,,no,,,,,,,50,success,USA,Auto Services
Towing,Los Angeles CA,Speedy towing service,(323) 275-1544,4565 W Martin Luther King Jr Blvd,"Los Angeles, CA 90016",CA,90016.0,http://speedytowingserviceca.localsearch.com,,25 Years,no,,,,,,,50,success,USA,Auto Services
